datei,geschlecht
atscher Hinrunde „Gefühlt gab es vi.txt,männlich
basketball_eurosport.txt,männlich
Bereits am Vormittag stieg im Biath.txt,männlich
Carlos Alcaraz trennt sich von sein.txt,männlich
Champions League.txt,weiblich
champions-league_eurosport.txt,unklar
Der SSV Bozen steckt aktuell in ein.txt,unklar
Die Bayern stehen schon im Viertelf.txt,unklar
Die Scottish Open vom 15. bis zum 2.txt,unklar
Ehemaliger Kitz-Sieger Sarrazin zur.txt,männlich
Emma Aicher mischt den alpinen Ski-.txt,weiblich
environments.txt,weiblich
Europacup.txt,männlich
Für den HC Eppan war es zweifelsohn.txt,männlich
Für Gregoritsch zählt der Teamgeist.txt,männlich
"Gasslitter ist gut, aber nicht gut.txt",weiblich
gemischte_gefühle_eurosport.txt,männlich
Gisin erlitt bei Sturz Halswirbelve.txt,männlich
Heimniederlage für Detroit gegen Ut.txt,männlich
Höll fährt künftig für Team Les Orr.txt,weiblich
manuel-neuer_eurosport.txt,männlich
Marc-André Stegen konnte zufrieden.txt,männlich
Mikutina bereits auf Olympia fokuss.txt,weiblich
Ohne Morant Grizzlies gewinnen bei.txt,weiblich
radsport_eurosport.txt,männlich
Rapid gegen Omonia und den Unmut de.txt,männlich
Ridnaun Unterweger und Botet sind d.txt,männlich
Schwere Zeiten für Österreichs Abfa.txt,männlich
ÖSV-Asse hoffen auf Podestplatz in.txt,unklar
„Unerträgliche“ Drohungen Celtic-Bo.txt,männlich
