datei,label,score
atscher Hinrunde „Gefühlt gab es vi.txt,neutral,0.9358347952365875
basketball_eurosport.txt,neutral,0.9999861121177673
Bereits am Vormittag stieg im Biath.txt,neutral,0.997901201248169
Carlos Alcaraz trennt sich von sein.txt,neutral,0.999990701675415
Champions League.txt,neutral,0.9753252665201823
champions-league_eurosport.txt,neutral,0.9387782514095306
Der SSV Bozen steckt aktuell in ein.txt,neutral,0.999969482421875
Die Bayern stehen schon im Viertelf.txt,neutral,0.9762333035469055
Die Scottish Open vom 15. bis zum 2.txt,neutral,0.999754011631012
Ehemaliger Kitz-Sieger Sarrazin zur.txt,negative,0.991517961025238
Emma Aicher mischt den alpinen Ski-.txt,neutral,0.9999381303787231
environments.txt,negative,0.9688402414321899
Europacup.txt,neutral,0.9877752661705017
Für den HC Eppan war es zweifelsohn.txt,neutral,0.9998584985733032
Für Gregoritsch zählt der Teamgeist.txt,neutral,0.9999860525131226
"Gasslitter ist gut, aber nicht gut.txt",negative,0.9751725792884827
gemischte_gefühle_eurosport.txt,positive,0.5857264399528503
Gisin erlitt bei Sturz Halswirbelve.txt,neutral,0.9979346990585327
Heimniederlage für Detroit gegen Ut.txt,neutral,0.9988800883293152
Höll fährt künftig für Team Les Orr.txt,neutral,0.9999606609344482
manuel-neuer_eurosport.txt,neutral,0.9712308049201965
Marc-André Stegen konnte zufrieden.txt,neutral,0.9943897128105164
Mikutina bereits auf Olympia fokuss.txt,neutral,0.9995667338371277
Ohne Morant Grizzlies gewinnen bei.txt,neutral,0.9999513626098633
radsport_eurosport.txt,neutral,0.9967538714408875
Rapid gegen Omonia und den Unmut de.txt,neutral,0.9815058708190918
Ridnaun Unterweger und Botet sind d.txt,neutral,0.9850870370864868
Schwere Zeiten für Österreichs Abfa.txt,neutral,0.9986132383346558
ÖSV-Asse hoffen auf Podestplatz in.txt,neutral,0.9889510273933411
„Unerträgliche“ Drohungen Celtic-Bo.txt,negative,0.9733803272247314
